宫/B 寒/M 月/B 经/M 过/M 少/M 吃/B 什/M 么/M 药/B
人/B 流/M 后/B 能/B 吃/B 猪/B 脚/M 炖/B 花/B 生/M 吗/B
人/B 流/M 后/B 能/B 吃/B 红/B 糖/M 煮/B 鸡/M 蛋/M 吗/B
人/B 流/M 后/B 能/B 长/B 时/M 间/M 玩/B 手/B 机/M 吗/B
人/B 流/M 多/B 久/M 能/B 染/B 头/B 发/M 烫/B 头/B 发/M
人/B 流/M 手/B 术/M 可/B 不/M 可/M 以/M 吹/B 风/B 扇/M
人/B 流/M 手/B 术/M 当/B 天/M 可/B 以/M 散/B 步/M 嘛/B
人/B 流/M 摸/B 阴/B 蒂/M 会/B 刺/B 激/M 到/B 子/B 宫/M
人/B 流/M 术/B 后/B 囊/B 肿/M 是/B 怎/B 么/M 回/M 事/M
人/B 流/M 第/B 二/M 天/M 可/B 以/M 吃/B 骨/B 头/M 汤/M
人/B 流/M 第/B 四/M 天/M 可/B 以/M 洗/B 头/B 发/M 吗/B
人/B 流/M 过/B 后/M 为/B 什/M 么/M 不/B 能/M 刷/B 牙/M
人/B 照/B 相/M 的/B 时/B 候/M 抖/B 怎/B 么/M 治/B 疗/M
人/B 的/M 一/M 生/M 能/B 有/B 几/M 次/M 剖/B 腹/M 产/M
人/B 的/B 眼/B 睛/M 会/B 不/M 会/M 有/B 线/M 形/B 虫/B
人/B 的/B 邱/B 脑/B 术/B 后/B 多/B 久/M 能/B 恢/B 复/M
人/B 睡/B 着/M 腿/B 像/B 上/B 能/B 不/M 能/M 减/B 肥/M
人/B 睡/B 觉/M 时/M 为/B 什/M 么/M 会/B 闭/B 眼/M 睛/M
人/B 绒/B 促/M 激/B 素/M 肌/B 注/M 怎/B 么/M 使/B 用/M
人/B 血/M 白/M 蛋/M 白/M 与/B 血/B 桨/B 同/B 时/M 用/B
人/B 血/M 白/M 蛋/M 白/M 注/B 射/M 液/M 说/B 明/M 书/M
人/B 血/M 白/M 蛋/M 白/M 输/B 多/B 了/B 的/B 坏/B 处/M
人/B 长/B 期/M 吃/B 保/B 健/M 品/M 到/B 底/M 好/B 吗/B
什/B 么/M 东/B 西/M 泡/B 水/M 喝/B 治/B 疗/M 早/B 泄/M
什/B 么/M 中/B 草/M 药/M 对/B 胆/B 囊/M 炎/M 有/B 用/M
什/B 么/M 中/B 草/M 药/M 能/B 治/B 慢/B 性/M 咽/M 炎/M
什/B 么/M 中/B 药/M 有/B 利/M 于/M 前/B 列/M 腺/M 炎/M
什/B 么/M 中/B 药/M 泡/B 脚/M 能/B 疏/B 通/M 经/M 络/M
什/B 么/M 中/B 药/M 能/B 治/B 幽/B 门/M 螺/M 杆/M 菌/M
什/B 么/M 中/B 药/M 配/B 方/M 泡/B 水/M 对/B 肝/B 好/B
什/B 么/M 人/B 不/B 适/M 合/M 吃/B 决/B 明/M ∵/B 子/B
什/B 么/M 体/B 操/M 对/B 腰/B 间/M 盘/M 突/M 出/M 好/B
什/B 么/M 体/B 质/M 不/B 宜/M 喝/M 玫/B 瑰/M 花/M 茶/M
什/B 么/M 化/B 学/M 品/M 会/B 致/B 人/B 皮/B 肤/M 痒/B
什/B 么/M 原/B 因/M 会/B 导/M 致/M 胎/B 盘/M 植/B 入/M
什/B 么/M 原/B 因/M 女/B 生/M 会/B 下/B 体/M 出/B 血/M
什/B 么/M 原/B 因/M 导/B 致/M 咽/B 喉/M 有/B 臭/B 味/M
什/B 么/M 叫/M 向/B 背/B 部/M 放/B 射/M 性/M 疼/B 痛/M
什/B 么/M 叫/M 有/B 规/B 律/M 的/B 阵/B 痛/M 宫/B 缩/M
什/B 么/M 姿/B 势/M 能/B 帮/B 助/M 受/B 精/M 卵/B 管/M
什/B 么/M 情/B 况/M 下/B 可/B 以/M 不/B 用/M 献/B 血/M
什/B 么/M 情/B 况/M 下/B 可/B 以/M 吃/B 黄/B 体/M 酮/M
什/B 么/M 情/B 况/M 下/B 吃/B 小/B 儿/M 热/B 速/B 清/B
什/B 么/M 情/B 况/M 下/B 进/B 行/M 心/B 肺/M 复/M 苏/M
什/B 么/M 情/B 况/M 下/B 需/B 要/M 骨/B 髓/M 捐/B 赠/M
什/B 么/M 情/B 况/M 会/B 导/M 致/M 子/B 宫/M 下/M 垂/M
什/B 么/M 情/B 况/M 会/B 导/M 致/M 胃/B 里/M 反/B 酸/M
什/B 么/M 时/M 候/M 做/B 优/B 生/M 优/M 育/M 检/B 查/M
什/B 么/M 时/M 候/M 做/B 爱/M 怀/B 孕/M 几/B 率/M 小/B
什/B 么/M 时/M 候/M 吃/B 黑/B 芝/M 麻/M 糊/M 最/B 好/M
什/B 么/M 时/M 候/M 喝/B 什/B 么/M 奶/B 能/B 长/B 高/M
什/B 么/M 时/M 候/M 检/B 查/M 不/B 育/M 不/B 孕/M 好/B
什/B 么/M 时/M 候/M 给/B 孩/B 子/M 补/B 钙/M 最/B 好/M
什/B 么/M 时/B 间/M 段/B 喝/B 蜂/B 蜜/M 水/B 最/B 好/M
什/B 么/M 是/B 上/B 消/B 道/B 多/B 发/M 性/M 溃/B 疡/M
什/B 么/M 是/B 手/B 足/M 口/M 病/M 的/B 潜/B 伏/M 期/M
什/B 么/M 机/B 器/M 可/B 以/M 在/B 家/M 验/B 尿/B 酸/M
什/B 么/M 样/B 的/B 人/B 容/B 易/M 的/B 子/B 宫/M 癌/M
什/B 么/M 样/B 的/B 孩/B 子/M 可/B 送/B 福/B 利/M 院/M
什/B 么/M 样/B 的/B 脑/B 积/M 水/M 适/B 合/M 造/B 瘘/B
什/B 么/M 植/B 头/B 发/M 有/B 没/M 有/M 人/M 搞/B 过/B
什/B 么/M 水/B 果/M 做/B 面/B 膜/M 是/B 抗/B 过/M 敏/M
什/B 么/M 水/B 果/M 是/B 补/B 维/B 生/M 素/M b/B 6/M 的/B
什/B 么/M 牌/B 子/M 的/B 避/B 孕/M 药/M 是/B 两/B 粒/M
什/B 么/M 疾/B 病/M 会/B 影/B 起/B 小/B 便/M 尿/B 白/B
什/B 么/M 病/B 毒/M 会/B 引/M 起/M 尿/B 道/M 肿/B 痛/M
什/B 么/M 穴/B 位/M 可/B 以/M 调/B 理/M 月/B 经/M 啊/B
什/B 么/M 穴/B 位/M 增/B 加/M 皮/B 肤/M 抵/B 抗/M 力/M
什/B 么/M 药/B 可/B 以/M 代/B 替/M 奥/B 美/M 拉/M 唑/M
什/B 么/M 药/B 可/B 以/M 加/B 速/M 伤/B 口/M 愈/M 合/M
什/B 么/M 药/B 可/B 以/M 让/B 小/B 鸡/M 鸡/M 增/B 大/M
什/B 么/M 药/B 治/B 牛/B 皮/M 癣/M 便/B 宜/M 的/B 药/B
什/B 么/M 药/B 能/B 使/B 阴/B 道/M 快/B 速/M 收/B 缩/M
什/B 么/M 运/B 动/M 有/B 助/M 增/B 强/M 性/B 功/B 能/M
什/B 么/M 降/B 压/M 药/M 可/B 以/M 舍/B 下/M 韩/B 服/M
什/B 么/M 鞋/B 能/B 调/B 节/M 内/B 分/M 泌/M 失/M 调/M
什/B 么/M 食/B 物/M 对/B 脂/B 肪/M 肝/M 有/B 缓/B 解/M
什/B 么/M 食/B 物/M 对/B 调/B 节/M 肝/B 肾/M 最/B 好/M
仁/B 和/M 小/B 儿/M 氨/B 酚/B 黄/B 那/M 敏/B 颗/B 粒/M
仁/B 爱/M 女/B 子/M 医/M 院/M 人/B 事/M 科/M 电/B 话/M
今/B 天/M 突/B 然/M 上/B 厕/M 所/M 下/B 面/M 流/B 血/M
今/B 天/M 肚/B 子/M 左/B 侧/M 一/B 阵/B 一/B 阵/B 痛/M
今/B 年/M 2/B 4/M 岁/B 还/B 有/M 没/B 可/B 能/M 长/B 高/M ?/B
今/B 幸/B 胶/B 囊/M 人/B 参/M 皂/M 苷/M r/B h/M 2/M 的/B 药/B
从/B 上/B 面/M 长/B 个/B 包/B 是/B 什/M 么/M 原/B 因/M
从/B 做/B 但/B 流/B 产/M 后/B 都/B 没/B 啥/M 症/B 状/M
从/B 受/B 精/M 卵/M 到/B 俩/B 个/B 月/B 有/B 多/M 大/M
从/B 强/B 到/B 弱/B 阳/M ,/B 弱/B 阳/M 几/B 小/B 时/M a/B a/M
从/B 蒲/B 黄/M 榆/M 到/B 丰/B 盛/M 医/B 院/M 乘/B 车/M
从/B 长/B 沙/M 南/B 站/M 到/B 省/B 人/B 民/M 医/M 院/M
仙/B 桃/M 人/B 民/M 医/M 院/M 住/B 院/M 楼/B 电/B 话/M
仙/B 牌/B 灵/B 芝/M 茶/M 的/B 功/B 效/M 与/B 作/B 用/M
代/B 孕/M 用/B 自/B 己/M 的/B 精/B 子/M 和/M 卵/M 子/M
代/B 替/M 医/B 疗/M 配/B 方/M 调/B 理/M 慢/B 性/M 病/M
以/B 前/M 只/B 不/B 到/M 十/B 天/M 才/B 胸/B 疼/B 的/B
仲/B 恺/M 惠/B 环/B 医/B 院/M 疫/B 苗/M 处/B 电/B 话/M
任/B 何/M 地/B 区/M 疾/B 控/M 中/M 心/M 都/B 可/B 以/M
伊/B 丽/M 莎/M 白/M 美/B 容/M 整/M 形/M 科/B 网/B 址/M
伊/B 利/M 扎/B 诺/M 夫/B 髋/B 关/M 节/M 重/B 建/M 术/B
伊/B 宁/M 市/M 那/B 家/B 医/B 院/M 做/B 人/M 流/M 好/B
伊/B 血/B 安/B 颗/B 粒/M 止/B 血/M 效/B 果/M 好/M 吗/B
伍/B 德/M 灯/M 照/B 射/M 颜/B 色/M 为/B 瓷/B 白/B 色/M
休/B 克/M 患/B 者/M 应/B 采/B 取/M 什/B 么/M 卧/B 位/B
休/B 闲/M 农/M 场/M 空/B 间/M 集/B 聚/M 的/B 原/B 因/M
优/B 酷/M 发/B 布/M 的/B 抽/B 脂/M 视/B 频/M 主/B 角/M
会/B 发/B 烧/M 代/B 表/M 身/B 体/M 有/B 抵/B 抗/M 力/M
会/B 孕/B 早/M 期/M 肚/B 子/M 疼/M 怎/B 么/M 回/M 事/M
会/B 阴/M 切/B 开/B 缝/M 合/B 术/B 及/B 其/M 护/B 理/M
会/B 阴/M 痒/B 轻/B 轻/M 抓/B 抓/B 就/B 流/B 血/M 了/B
传/B 单/M 病/B 会/B 引/M 起/M 眼/B 睑/M 水/B 肿/M 吗/B
伤/B 到/B 了/B 真/B 皮/M 层/M 疤/B 痕/M 会/B 好/M 吗/B
伤/B 到/B 骨/B 头/M 会/B 不/M 会/M 造/B 成/M 便/B 秘/M
伤/B 到/B 骨/B 头/M 吃/B 什/M 么/M 鱼/B 好/B 得/M 快/M
伤/B 口/M 发/B 炎/M 可/B 以/M 吃/B 麦/B 当/M 劳/M 吗/B
伤/B 口/M 快/B 好/B 的/B 时/B 候/M 被/B 狗/B 舔/B 了/B
伤/B 口/M 感/B 染/M 是/B 血/B 液/M 的/B 问/B 题/M 吗/B
伤/B 口/M 第/B 二/M 天/M 还/B 用/B 酒/B 精/M 消/B 毒/M
伤/B 口/M 结/B 痂/M 里/B 面/M 化/B 脓/M 怎/B 么/M 办/M
伤/B 口/M 长/B 疤/B 后/B 变/B 黑/B 怎/B 么/M 回/M 事/M
伤/B 寒/M 患/B 者/M 吃/B 饭/M 需/B 要/M 隔/B 离/M 吗/B
伸/B 懒/M 腰/M 抻/B 肚/B 子/M 疼/M 怎/B 么/M 回/M 事/M
伸/B 手/M 回/B 头/M 之/B 后/M 后/B 背/M 特/B 别/M 痛/B
伽/B 马/M 刀/M 术/B 后/B 脑/B 瘤/M 体/B 积/M 缩/B 小/M
低/B 分/M 子/M 肝/M 素/M 可/B 以/M 孕/B 前/M 打/B 吗/B
低/B 度/M 鳞/B 状/M 病/B 变/M 怎/B 么/M 得/B 来/B 的/B
低/B 钾/M 血/M 症/M 吃/B 甜/B 的/B 之/B 后/M 头/B 晕/M
低/B 钾/M 血/M 症/M 喝/B 牛/M 奶/M 能/B 补/B 钾/B 吗/B
住/B 院/M 证/B 可/B 以/M 查/B 手/B 术/M 记/B 录/M 吗/B
体/B 内/B 湿/B 气/M 重/B 脸/B 两/B 侧/M 会/B 黑/B 吗/B
体/B 内/B 缺/B 水/M 能/B 吃/B 纤/B 维/M 素/M 片/B 吗/B
体/B 寒/B 能/B 喝/B 鱼/B 腥/M 草/M 和/B 梨/B 汤/B 吗/B
体/B 格/M 检/M 查/M 所/B 需/M 工/B 具/M 有/B 哪/B 些/M
体/B 检/M 报/B 告/M 阴/B 性/M 是/B 什/M 么/M 意/B 思/M
体/B 检/M 有/B 没/M 有/M 怀/B 孕/M 要/B 多/B 少/M 钱/B
体/B 温/M 计/M 时/B 间/M 越/B 长/B 温/B 度/M 越/B 高/B
体/B 育/M 锻/M 炼/M 能/B 预/B 防/M 冠/B 心/M 病/M 吗/B
佛/B 山/M 垂/B 虹/M 皮/B 肤/M 门/B 诊/M 怎/B 么/M 样/M
佛/B 山/M 妇/B 幼/M 保/M 健/M 院/M 收/B 费/M 高/B 吗/B
你/B 们/M 的/B 女/B 儿/M 不/B 是/M 你/B 自/B 己/M 的/B
你/B 准/B 备/M 来/B 例/B 假/M 下/B 巴/M 长/B 疙/B 瘩/M
你/B 是/M 我/M 的/B 姐/B 妹/M 里/B 面/M 的/B 小/B 孩/M
你/B 知/B 道/M 哪/B 些/M 常/B 见/M 中/B 药/B 剂/M 型/B
使/B 劲/M 大/B 便/M 为/B 什/M 么/M 阴/B 道/M 出/M 血/M
使/B 用/M 滴/B 滴/M 瘦/M 两/B 小/B 瓶/M 不/B 掉/B 称/B
使/B 用/M 激/B 素/M 后/B 多/B 久/M 可/B 以/M 怀/B 孕/M
來/B 月/B 經/B 的/B 時/B 候/B 用/B 被/B 子/M 自/B 慰/M
例/B 假/M 之/B 后/M 跑/B 步/M 会/B 瘦/B 的/B 快/B 吗/B
例/B 假/M 刚/B 完/B 两/B 天/M 白/B 带/M 带/B 血/B 丝/M
例/B 假/M 前/B 测/B 的/B 验/B 孕/M 棒/M 准/B 确/M 吗/B
例/B 假/M 前/B 阴/B 道/M 分/M 泌/M 物/M 增/B 多/M 吗/B
例/B 假/M 已/B 过/B 怎/B 么/M 还/B 来/B 点/B 红/B 的/B
例/B 假/M 快/B 完/B 了/B 为/B 什/M 么/M 是/B 黑/B 的/B
例/B 假/M 推/B 迟/M 恶/B 心/M 想/B 睡/M 觉/M 放/B 屁/M
例/B 假/M 最/B 后/M 一/M 天/M 受/B 到/M 性/B 刺/B 激/M
例/B 假/M 期/B 间/M 为/B 什/M 么/M 不/B 能/M 喝/B 酒/M
例/B 假/M 期/B 间/M 能/B 喝/B 补/B 血/M 颗/B 粒/M 吗/B
例/B 假/M 期/B 间/M 能/B 进/B 行/M 什/B 么/M 运/B 动/M
例/B 假/M 没/B 完/M 可/B 以/M 阴/B 道/M 用/B 药/M 吗/B
例/B 假/M 血/B 是/B 黑/B 色/M 的/B 怎/B 么/M 回/M 事/M
例/B 假/M 量/B 少/B 有/B 血/B 块/M 怎/B 么/M 回/M 事/M
侧/B 切/B 伤/B 口/M 裂/B 开/M 可/B 以/M 用/B 碘/B 伏/M
侧/B 切/B 刀/B 口/M 全/B 部/M 裂/B 开/M 怎/B 么/M 办/M
侧/B 壁/B 梗/B 塞/M 急/B 性/M 的/B 怎/B 么/M 治/B 疗/M
侧/B 柏/M 叶/M 与/B 黄/B 柏/M 功/B 效/M 一/B 样/M 吗/B
便/B 秘/M 多/B 喝/B 营/B 养/M 快/M 线/M 可/B 以/M 吗/B
促/B 卵/B 泡/M 生/B 成/M 素/B 高/B 吃/B 什/M 么/M 好/B
促/B 进/M 孕/B 囊/B 排/B 出/M 的/B 药/B 有/B 哪/B 些/M
促/B 黄/M 体/M 生/M 成/M 素/M 低/B 导/B 致/M 出/B 血/M
俄/B 罗/M 斯/M 三/B 天/M 瘦/B 减/B 肥/M 药/M 好/B 吗/B
保/B 和/M 丸/M 吃/B 完/B 后/B 屁/B 股/M 不/B 舒/M 服/M
保/B 妥/B 适/M 瘦/B 脸/M 针/M 需/B 要/M 多/B 少/M 钱/B
保/B 定/M 2/B 5/M 2/M 医/B 院/M 手/B 足/M 外/B 科/M 电/B 话/M
保/B 胎/M 药/B 饭/B 前/M 吃/B 还/B 是/M 饭/B 后/M 吃/B
信/B 宜/M 市/M 人/B 民/M 医/M 院/M 服/B 务/M 电/M 话/M
俩/B 月/B 的/B 婴/B 儿/M 为/B 什/M 么/M 会/B 贫/B 血/M
俩/B 月/B 的/B 宝/B 宝/M 拉/B 肚/M 子/M 怎/B 么/M 办/M
俩/B 脚/B 指/M 头/M 发/B 麻/M 是/B 什/M 么/M 原/B 因/M
修/B 正/M 左/B 旋/M 肉/M 碱/M 的/B 正/B 确/M 吃/B 法/M
倍/B 因/B 美/B 婴/B 幼/M 儿/M 奶/B 糕/M 有/B 哪/B 些/M
偆/B 乳/B 凝/B 胶/M 有/B 息/B 肉/M 可/B 以/M 用/B 吗/B
假/B 体/M 打/B 麻/B 药/M 的/B 时/B 候/M 疼/B 不/B 疼/B
偏/B 头/M 疼/M 是/B 焦/B 虑/M 症/M 引/B 起/M 的/B 吗/B
偏/B 执/M 型/B 精/B 神/M 病/M 还/B 能/M 上/B 学/M 吗/B
偏/B 瘫/M 病/B 人/M 站/B 立/M 架/B m/B ./M b/M a/M i/M d/M u/M ./M c/M o/M m/M
做/B 个/B 不/B 偏/B 心/M 的/B 老/B 师/M 幼/B 儿/M 园/M
做/B 个/B 治/B 疗/M 早/B 泄/M 手/B 术/M 多/B 少/M 钱/B
做/B 个/B 试/B 管/M 婴/M 儿/M 得/B 多/B 少/M 钱/B 啊/B
做/B 了/B 乳/B 晕/M 缩/B 小/M 后/B 疤/B 痕/M 图/B 片/M
做/B 了/B 人/B 工/M 受/M 精/M 左/B 边/M 肚/B 子/M 胀/B
做/B 了/B 人/B 流/M 小/B 腹/M 下/B 痛/B 怎/B 么/M 了/M
做/B 了/B 宫/B 颈/M 粘/B 连/M 多/B 久/M 能/B 同/B 房/M
做/B 了/B 点/B 阵/M 激/B 光/M 能/B 吃/B 榴/B 莲/M 吗/B
做/B 了/B 烤/B 瓷/M 套/B 能/B 用/B 多/B 长/M 时/M 间/M
做/B 了/B 肛/B 裂/M 手/B 术/M 多/B 久/M 才/B 能/M 好/B
做/B 了/B 造/B 影/M 回/B 来/M 还/B 是/M 有/B 点/M 痛/B
做/B 人/B 工/M 引/B 产/M 后/B 吃/B 当/B 归/M 可/B 吗/B
做/B 人/M 流/M 后/B 半/B 个/M 月/M 能/B 吹/B 风/M 吗/B
做/B 人/M 流/M 后/B 多/B 久/M 可/B 以/M 打/B 篮/M 球/M
做/B 人/M 流/M 手/B 术/M 前/B 的/B 注/B 意/M 事/M 项/M
做/B 人/M 流/M 是/B 不/M 是/M 会/B 不/B 容/M 易/M 怀/B
做/B 内/B 诊/M 需/B 要/M 观/B 察/M 那/B 些/M 内/B 容/M
做/B 去/B 狐/B 臭/M 手/B 术/M 需/B 要/M 多/B 少/M 钱/B
做/B 双/B 胞/M 胎/M 人/B 工/M 授/M 精/M 多/B 少/M 钱/B
做/B 四/B 维/M 彩/M 超/M 哪/B 个/M 医/B 院/M 较/B 好/M
做/B 四/B 维/M 胎/B 儿/M 三/B 血/B 管/M 看/B 不/M 清/M
做/B 在/B 武/B 汉/M 四/B 维/M 彩/M 超/M 多/B 少/M 钱/B
做/B 处/B 女/M 膜/M 修/B 复/M 要/B 花/B 多/B 少/M 钱/B
做/B 完/M 人/B 流/M 二/B 十/M 天/B 小/B 肚/M 子/M 疼/B
做/B 完/M 人/B 流/M 可/B 以/M 吃/B 党/B 参/M 炖/B 鸡/M
做/B 完/M 人/B 流/M 后/B 可/B 以/M 吃/B 豆/B 角/M 吗/B
做/B 完/M 人/B 流/M 后/B 可/B 以/M 带/B 小/B 孩/M 吗/B
做/B 完/M 人/B 流/M 后/B 想/B 吐/M 怎/B 么/M 回/M 事/M
做/B 完/M 人/B 流/M 后/B 需/B 要/M 挂/B 水/B 就/B 好/M
做/B 完/M 人/B 流/M 能/B 穿/B 紧/B 身/M 衣/M 裤/B 吗/B
做/B 完/M 刮/B 片/B 后/B 有/B 褐/B 色/M 分/B 泌/M 物/M
做/B 完/M 双/B 眼/M 皮/M 多/B 久/M 可/B 以/M 同/B 房/M
做/B 完/M 双/B 眼/M 皮/M 能/B 吃/B 肯/B 德/M 基/M 吗/B
做/B 完/M 宫/B 腔/M 镜/M 能/B 热/B 敷/M 腹/B 部/M 吗/B
做/B 完/M 引/B 产/M 多/B 长/M 时/M 间/M 能/B 同/B 床/B
做/B 完/M 月/B 子/M 眼/B 睛/M 干/B 涩/M 能/B 好/B 吗/B
做/B 完/M 月/B 子/M 腿/B 半/B 蹲/M 时/B 膝/B 盖/M 疼/M
做/B 完/M 流/B 产/M 休/B 息/M 几/B 才/B 能/M 上/B 班/M
做/B 完/M 流/B 产/M 半/B 个/M 月/M 左/B 边/M 腰/B 疼/M
做/B 完/M 清/B 宫/M 手/M 术/M 可/B 以/M 吃/B 饭/M 吗/B
做/B 完/M 爱/B 全/B 身/M 酸/M 痛/M 怎/B 么/M 回/M 事/M
做/B 完/M 爱/B 爱/M 下/B 体/M 会/B 肿/B 为/B 什/M 么/M
做/B 完/M 爱/B 第/B 二/M 天/M 阴/B 道/M 皱/B 肿/B 疼/B
做/B 完/M 经/B 络/M 啦/B 出/B 血/M 怎/B 么/M 回/M 事/M
做/B 完/M 肛/B 裂/M 手/B 术/M 肿/B 了/B 咋/B 么/B 办/B
做/B 完/M 脐/B 带/M 血/M 就/B 可/B 以/M 走/B 了/M 吗/M
做/B 完/M 脸/B 上/M 的/B 斑/B 后/B 怎/B 么/M 保/B 护/M
做/B 完/M 腹/B 腔/M 镜/M 外/B 阴/M 肿/B 两/B 个/M 月/M
做/B 完/M 药/B 流/M 后/B 一/B 直/M 没/B 来/B 月/B 经/M
做/B 完/M 输/B 卵/M 管/M 照/B 影/B 当/B 月/M 怀/B 孕/M
做/B 完/M 造/B 影/M 吃/B 点/B 什/B 么/M 消/B 炎/M 药/M
做/B 完/M 酒/B 窝/M 第/B 三/M 天/M 敢/B 不/M 敢/M 笑/B
做/B 慢/B 散/B 瞳/M 孩/B 子/M 能/B 在/B 家/M 玩/B 吗/B
做/B 手/B 术/M 后/B 多/B 久/M 吃/B 黑/B 鱼/M 最/B 好/M
做/B 手/B 术/M 都/B 要/B 裸/B 体/M 刮/B 阴/B 毛/M 吗/B
做/B 护/B 士/M 怎/B 么/M 照/B 顾/M 孩/B 子/M 家/B 人/M
做/B 无/B 痛/M 人/M 流/M 麻/B 醉/M 打/B 在/B 哪/M 里/M
做/B 梦/M 老/B 是/M 想/B 醒/B 却/B 睁/B 不/M 开/M 眼/B
做/B 流/B 产/M 在/B 长/B 沙/M 哪/B 家/B 医/B 院/M 好/B
做/B 爱/M 下/B 边/M 摩/B 擦/M 有/B 点/M 疼/B 难/B 受/M
做/B 爱/M 下/B 面/M 有/B 白/B 色/M 的/B 是/B 什/M 么/M
做/B 爱/M 不/B 射/B 有/B 可/B 能/M 会/M 怀/B 孕/M 吗/B
做/B 爱/M 之/B 后/M 为/B 什/M 么/M 小/B 腹/M 涨/B 痛/B
做/B 爱/M 以/B 后/M 吃/B 什/M 么/M 可/B 以/M 恢/B 复/M
做/B 爱/M 会/B 抵/B 到/B 一/B 个/B 点/B 有/B 点/M 疼/B
做/B 爱/M 后/B 几/B 天/M 能/B 感/B 觉/M 到/B 怀/B 宇/B
做/B 爱/M 后/B 吃/B 了/B 避/B 孕/M 药/M 会/B 怀/B 孕/M
做/B 爱/M 后/B 女/B 生/M 下/B 体/M 表/B 皮/M 剧/B 痛/M
做/B 爱/M 后/B 测/B 排/B 卵/M 一/B 直/M 是/B 弱/B 阳/M
做/B 爱/M 多/B 久/M 会/B 有/B 怀/B 孕/M 的/B 症/B 状/M
做/B 爱/M 完/B 月/B 经/M 提/B 前/M 一/B 个/M 礼/M 拜/M
做/B 爱/M 带/B 套/B 会/B 不/M 会/M 精/B 液/M 漏/B 出/M
做/B 爱/M 把/B 阴/B 道/M 弄/B 破/M 了/B 怎/B 么/M 办/M
做/B 爱/M 疼/B 然/B 后/M 阴/B 道/M 口/B 有/B 肉/B 芽/M
做/B 爱/M 的/B 时/B 候/M 下/B 面/M 感/B 觉/M 辣/B 痛/B
做/B 爱/M 高/B 潮/M 后/B 为/B 什/M 么/M 会/B 腹/B 痛/M
做/B 牙/B 齿/M 正/B 畸/M 会/B 不/M 会/M 有/B 危/B 险/M
做/B 狐/B 臭/M 手/B 术/M 前/B 后/M 注/B 意/M 事/M 项/M
做/B 理/B 疗/M 对/B 助/B 怀/B 孕/M 有/B 效/M 果/M 吗/B
做/B 的/B 烤/B 瓷/M 牙/M 里/B 面/M 看/B 到/M 金/B 属/M
做/B 纤/B 维/M 气/B 管/M 镜/M 要/B 多/B 长/M 时/M 间/M
做/B 肝/B 功/M 能/M 检/B 查/M 多/B 久/M 出/B 结/B 果/M
做/B 肠/B 镜/M 查/B 出/M 有/B 息/B 肉/M 怎/B 么/M 办/M
做/B 脑/B c/B t/M 篇/B 子/B 医/B 院/M 能/B 通/B 用/M 吗/B ?/B
做/B 脑/B 袋/M 核/B 磁/M 应/B 该/M 挂/B 哪/B 科/B 号/B
做/B 试/B 管/M 取/B 卵/M 后/B 能/B 吃/B 螃/M 蟹/M 吗/B
做/B 输/B 卵/M 管/M 照/B 影/B 有/B 后/B 遗/M 症/M 吗/B
做/B 过/B 心/B 脏/M 手/M 术/M 有/B 什/B 么/M 不/B 良/M
做/B 过/B 手/B 术/M 是/B 不/M 是/M 喝/B 初/B 元/B 好/B
做/B 造/B 影/M 后/B 会/B 出/M 现/M 什/B 么/M 症/B 状/M
做/B 锥/B 体/M 切/B 除/M 术/M 要/B 几/B 个/M 小/B 时/M
做/B 阑/B 尾/M 微/B 创/M 手/M 术/M 费/B 用/M 多/B 少/M
做/B 阴/B 超/B 可/B 以/M 看/M 到/M 残/B 留/M 物/B 吗/B
做/B 阴/B 超/B 能/M 把/B 卵/B 子/M 做/B 出/B 来/M 吗/B
做/B 隐/B 睾/M 手/B 术/M 之/B 后/M 吃/B 什/M 么/M 药/B
做/B 颈/B 椎/M 磁/B 共/M 振/M 需/B 要/M 多/B 少/M 钱/B
做/B 骨/B 微/B 创/M 手/M 术/M 需/B 要/M 住/B 院/M 吗/B
停/B 经/M 六/B 天/M 可/B 以/M 测/B 出/M 怀/B 孕/M 吗/B
停/B 经/M 后/B 有/B 什/B 么/M 方/B 法/M 恢/B 复/M 吗/B
停/B 育/B 多/B 久/M 会/B 没/B 有/M 孕/B 晨/B 反/B 应/M
停/B 药/M 后/B 多/B 久/M 可/B 以/M 试/B 管/M 移/B 植/M
健/B 康/M 证/M 检/B 查/M 项/B 目/M 相/B 关/M 推/B 荐/M
健/B 脾/M 止/M 遗/M 片/M 蓬/B 莱/M 哪/B 有/M 卖/B 的/B
健/B 身/M 之/B 后/M 如/B 果/M 不/B 吃/B 蛋/B 白/M 质/M
健/B 身/M 小/B 肚/M 子/M 怎/B 么/M 还/B 有/M 赘/B 肉/M
健/B 身/M 房/M 踩/B 踏/B 机/B 可/B 以/M 减/B 肥/M 吗/B
健/B 身/M 有/B 氧/M 跑/B 步/M 能/B 天/B 天/M 做/B 么/B
健/B 身/M 蛋/B 白/M 粉/M 配/B 什/B 么/M 补/B 剂/B 好/B
偶/B 尔/M 赤/B 脚/M 跳/B 绳/M 会/B 有/B 危/B 害/M 吗/B
像/B 素/M 激/B 光/M 几/B 天/M 后/M 可/B 以/M 洗/B 脸/M
儿/B 子/M 刚/B 上/B 学/M 不/B 合/M 群/M 怎/B 么/M 办/M
儿/B 子/M 感/B 冒/M 了/B 有/B 什/B 么/M 土/B 办/B 法/M
